
backing n.倒退，支撑物 
backlog n.未交付的订货 
backward adv.向后，逆 
backwardness n.落后(状态) 
bacon n.咸肉，熏肉 
bacterium n.细菌 
bad adj.坏的，低劣的 
badge n.徽章 
badly adv.坏，非常，严重地 
badminton n.羽毛球 
baffle v.困扰，难倒 
bag n.袋子，提包 
baggage n.行李 
baggy adj.袋状的 
bait n.饵，诱饵 
bake v.烤，烘 
baker n.面包师 
bakery n.面包店 
balance n.平衡，天平，余额 
balcony n.阳台 
bald adj.秃的 
ball n.球，球状物，舞会 
ballet n.芭蕾舞 
balloon n.气球 
ballooning n.热气球飞行运动 
ball-point pen n.圆珠笔 
ballroom n.舞厅 
bamboo n.竹 
bamboo-shoot n.竹笋 
banana n.香蕉 
band n.乐队，带子 ，波段v.联合 
bandage n.绷带 
bandit n.盗匪，歹徒 
bang n. & v.砰的一响 
bank n.岸，银行 
banker n.银行家 
banking n.银行业务、金融业 
bankrupt n. & v. & adj.破产 
banner n.旗帜，横幅 
banquet n.宴会 
bar n.棒，杆，酒吧 
barber n.理发师 
cab n.出租汽车，计程车 
cabbage n.卷心菜;圆白菜 
cabin n.小屋，船舱 
cabinet n.橱柜，内阁 
cable n.电缆，海底电报 
cafe n.咖啡馆 
cafeteria n.自助餐厅 
cage n.笼子，鸟笼 
