decency n.体面 
decent adj.体面的，像样的 
decide v.决定，判决 
decided adj.明确的，果断的 
decidedly adv.明确地，果断的 
decimal adj.十进制的，小数的 
decision n.决定，决议 
decisive adj.决定性，明确的 
deck n.甲板 
declaration n.宣布，宣告 
declare v.宣布，声明 
decline v.婉谢，推辞 n.衰落 
declining adj.下降的，衰落的 
decompose v.分解，腐烂 
decorate v.装饰 
decoration n.装饰物 
decorative adj.装饰的，装璜的 
decrease v. & n.减少 
decree n.法令 v.判决 
dedicate v.奉献，致力 
deduce v.演绎，推断 
deduct v.减 
deduction n.推断，减少 
deed n.行为，契据 
each adj. & adv.每，每个 
eager adj.热切的，渴望的 
eagle n.鹰，鹰状标饰 
ear n.耳朵，穗 
earl n.伯爵 
early adj.早的，初期的 
earmark n.标记，特征 
earn v.挣钱，赢得 
earnest adj.认真的，诚恳的 
earnings n.收入，赚得的钱 
earphone n.耳机 
earth n.地球，地上，泥土 
earthly adj.世俗的 
earthquake n.地震 
ease n.安逸，轻易 
easily adv.容易地，安逸地 
east adj.东方的 n.东方 
Easter n.复活节 
eastern adj.东的，朝东的 
eastward adv.向东 
easy adj.容易的，轻松的 
easy-going adj.逍遥自在的 
eat v.吃 
eccentric adj.性格怪僻的 
eccentricity n.怪僻 
echo n.回声，反响，共鸣
