elapse v.(时间)消逝 
elastic adj.弹性的，灵活的 
elasticity n.弹性 
elbow n.肘，弯管 
elder adj.年长的，资格老的 
elect v.选举 adj.当选的 
election n.选举 
electric adj.电的，电力的 
electrical adj.电的 
electrician n.电工 
electricity n.电 
electrify v.充电，电气化 
electron n.电子 
electronic adj.电子的 
electronics n.电子学 
elegance n.优雅 
elegant adj.优雅的，典雅的 
element n.成分，元素 
elemental adj.自然力的，基本的 
elementary adj.基础的，初步的 
elephant n.象 
elevate v.提升，抬高 
elevation n.海拔，提高，崇高 
elevator n.电梯 
eleven num.十一 
eleventh num.第十一 
eliminate v.消灭，删除 
elimination n.消灭，删除 
elliptical adj.椭圆的，省略的 
ellipsis n.省略 
eloquence n.雄辩，口才 
eloquent adj.雄辩的，有口才的 
else adj.别的 adv.否则 
elsewhere adv.在别处 
elusive adj.躲闪的 
email n.电子邮件 
emancipate v.解放 
emancipation n.解放 
embargo n.禁运 
embark v.登陆 
embarrass v.使窘，使为难 
embarrassing adj.令人尴尬的 
embarrassment n.窘迫，尴尬 
embassy n.使馆 
embody v.体现，包含 
embrace v.拥抱，接受，包括 
embroider v.绣 
embroidery v.刺绣(品) 
emerge v.出现，暴露 
emergency n.紧急情况，急诊 
emigrant n.移居国外的人 
emigrate v.移居国外，移民 
emigration n.向国外移民 
eminent adj.杰出的，突出的 
emission n.发射，散发 
fable n.寓言;神话 
fabric n.织物，结构，组织 
fabricate v.制作，捏造 
fabrication n.制作，虚构 
face n.脸，正面 v.面对 
facilitate v.使便利，使容易 
facility n.方便，设施，便利 
