able adj.有能力的，能干的 
abnormal adj.反常的，变态的 
aboard adv.船(车)上 
abolish v.废除，取消 
abolition n.废除，取消 
abortion n.流产 
abortive adj.无效果的，失败的 
about prep.关于，大约 
above prep.在之上，高于 
above-mentioned adj.上述的 
abreast adv.并肩，并列 
abridge v.省略，摘要 
abroad adv.国外，海外 
abrogate v.取消，废除 
abrogation n.取消，废除 
abrupt adj.突然的，生硬的 
abruptly adv.突然地 
absence n.缺席，缺乏 
absent adj.缺席的，不存在 
absent-minded adj.心不在焉的 
absolute adj.完全的，绝对的 
absolutely adv.绝对，完全 
absorb v.吸收，专心于 
absorption n.吸收，专注 
abstract adj.抽象的，难懂的 
abstraction n.抽象，提取 
absurd adj.荒唐的 
absurdity n.荒唐(事) 
abundance n.丰富，大量 
abundant adj.丰富的，充裕的 
abuse v.滥用，谩骂 
abasement n.滥用 
academic adj.学院的，学术的 
academy n.学院，研究院 
accede v.同意 
accelerate v.加速，加快 
acceleration v.加速，促进 
accent n.腔调 v.重读 
accept v.接受，同意 
acceptable adj.可接受的，合意的 
acceptance n.接受，承兑 
access n.接近，入口 
accessible adj.可接近的 
accessory n.附件，装饰品 
accident n.事故，意外之事 
accidental adj.意外的，偶然的 
accidentally adv.偶尔，附带 
accommodate v.提供便利，拆借 
accommodation n.便利，通融 
accompaniment n.伴侣，伴奏 
accompany v.伴随，伴奏 
accomplish v.完成，达到 
accomplishment n.成就 
accord v.符合，协调 
accordance n.按照，与一致 
according adj.按照，据说 
accordingly adj.相应地，从而 
account n.账目 v.说明 
accountant n.会计(师) 
accounting n.会计学 
accrue v.产生，发生 
accrued adj.增值的，应计的 
accumulate v.积累，积蓄 
accumulation n.积累 
accumulative adj.积累的 
accuracy n.准确(性) 
accurate adj.准确的，精密的 
accurately adj.准确地 
accusation n.控告 
accuse v.告发，指责 
accustom v.使习惯于 
ache v.觉得疼 n.疼痛 
aching adj.疼痛的 
achieve v.完成，实现 
achievement n.完成，成就 
acid n.酸 
acknowledge v.承认，鸣谢 
acknowledgment n.承认，鸣谢，回执 
acquaint n.使熟悉，相识 
acquaintance n.熟悉人，相识 
acquainted adj.熟悉的 
acquire v.求得，获得 
acquisition n.获得 
acre n.英亩 
acrobat n.杂技演员 
acrobatics n.杂技 
across prep.横越 adv.横穿 
act n.行为，法令 v.表演 
action n.行为，行动 
activate v.使活跃，开动 
active adj.活跃的，积极的 
baby n.婴儿，年龄最小的人 
baby-sit v.(替人)看护小孩 
baby-sitter n.看护小孩的人 
bachelor n.单身汉，学士 
back n.背 adj.背后的 
backbone n.脊梁骨 
back-call n.(推销员对顾客的)第二次访问 
backdate v.回溯 
background n.背景，经历 
backing n.倒退，支持物 
backlog n.未交付的订货 
backward adv.向后，逆 
backwardness n.落后(状态) 
bacon n.咸肉，熏肉 
bacterium n.细菌 
bad adj.坏的，低劣的 
badge n.徽章 
badly adv.坏，非常，严重地 
badminton n.羽毛球 
baffle v.困扰，难倒 
bag n.袋子，提包 
baggage n.行李 
baggy adj.袋状的 
bait n.饵，诱饵 
bake v.烤，烘 
baker n.面包师 
bakery n.面包店 
balance n.平衡，天平，余额 
balcony n.阳台 
bald adj.秃的 
ball n.球，球状物，舞会 
ballet n.芭蕾舞 
balloon n.气球 
ballooning n.热气球飞行运动 
ball-point pen n.圆珠笔 
ballroom n.舞厅 
bamboo n.竹 
bamboo-shoot n.竹笋 
banana n.香蕉 
band n.乐队，带子 v.联合 
bandage n.绷带 
bandit n.盗匪，歹徒 
bang n. & v.砰的一响 
bank n.岸，银行 
banker n.银行家 
banking n.银行业务、金融业 
bankrupt n. & v. & adj.破产 
banner n.旗帜，横幅 
banquet n.宴会 
bar n.棒，杆，酒吧 
barber n.理发师 
cab n.出租汽车，计程车 
cabbage n.卷心菜;圆白菜 
cabin n.小屋，船舱 
cabinet n.橱柜，内阁 
cable n.电缆，海底电报 
cafe n.咖啡馆 
cafeteria n.自助餐厅 
cage n.笼子，鸟笼 
cake n.糕，饼 
calculate v.计算，估计 
calculation n.计算(结果) 
calculus n.微积分;结石 
calendar n.日历 
calf n.小牛，腿肚子 
call v.叫，称为，打电话 
calm adj.宁静的，镇静的 
calmly adv.平静地，沉着地 
calorie n.热卡，卡路里 
camel n.骆驼 
camera n.照相机 
camp n.帐篷，野营 n.宿营 
campaign n.战役，运动 
camping n.野营 
campus n.校园 
can v.aux.能，会，可以 
Canada n.加拿大 
Canadian adj. & n.加拿大的(人) 
canal n.运河，渠道 
canary n.金丝雀 
cancel v.删除，取消 
cancellation n.删除，取消 
cancer n.癌 
candid adj.坦白的，直率的 
candidate n.候选人 
candle n.蜡烛 
candy n.糖果 
cane n.手杖，(藤、竹的)茎 
canned adj.罐装的 
cannon n.大炮 
canoe n.独木舟，游艇 
canon n.规范，准则 
canteen n.食堂 
canvas n.帆布，画布 
canvass v.游说 
cap n.帽子，盖子 v.覆盖 
capability n.才能，能力 
capable adj.有能力的 
capacity n.容量，容积，资格 
cape n.披肩，岬，海角 
capita n.人 
capital n.首都，资本 
capitalism n.资本主义 
capitalist adj.资本主义的 
capitalization n.资本化 
capitalize v.大写，资本化 
captain n.队长，船长，上尉 
caption n.标题 
captive adj.被俘虏的 n.俘虏 
capture v. & n.俘获，捉拿 
car n.小汽车 
caravan n.车队，大蓬车 
carbon n.碳，复写纸 
card n.卡片，纸牌，名片 
cardboard n.硬纸板 
cardinal adj.主要的 
care n.注意，小心 v.关心 
career n.职业，生涯 
careful adj.小心的，仔细的 
careless adj.粗心的，不关心的 
carelessness n.粗心 
cargo n.货物 
carol n.颂歌 
carpenter n.木匠 
carpet n.地毯 
carriage n.马车，(火车)车厢 
carrier n.运载工具，媒介 
carrot n.胡萝卜 
carry v.搬运，携带 
cart n.手推车 
carton n.纸箱 
cartoon n.漫画，动画片 
cartridge n.弹仓 
carve v.雕刻，切 
carving n.雕塑 
case n.事实，案例，箱子 
cash n.现金 v.兑现 
cashier n.出纳 
cassette n.小盒，磁盘盒 
cast v.掷，投射，铸造 
castle n.城堡 
casual adj.偶然的，随便的 
casualty n.伤亡 
cat n.猫 
catalog n.(商品)目录 
catastrophe n.灾难 
catalyst n.催化剂 
catch v.捕获，染病 n.捉 
category n.种类，范畴 
cater v.提供 
cathedral n.大教堂 
catholic adj.天主教的 
cattle n.牛(总称) 
cause n.原因，理由，事业 
caution n.谨慎，告诫 
cautious adj.谨慎的，当心的 
cavalry n.骑兵，马术 
cave n.洞穴，山洞 
cavern n.酒馆 
cavity n.坑，孔穴 
dad n.爸爸 
dagger n.匕首 
daily adj.每日的，每天的 adv.天天，每天 
dainty adj.优雅，考究 
dairy n.奶牛场，乳品商店 
dam n.坝，水坝;障碍 v.控制，筑坝 
damage v. & n.损害，破坏 
damn v. & n.诅咒 
damp adj.潮湿的 n.潮气 
dance v.跳舞 n.舞蹈 
dancer n.舞蹈者，舞蹈演员 
danger n.危险，威胁 
dangerous adj.有危险的 
Danish adj. & n.丹麦人(的) 
Denmark n.丹麦 
dare v.敢，挑战，竟敢 
daring adj.大胆的，勇敢的 
dark adj.黑暗的 n.暗处 
darken v.变黑，转暗 
darkness n.黑暗 
darling n.爱人 adj.心爱的 
dart n.飞标游戏 
dash v.猛冲，泼溅 n.破折号 
data n.(复数)资料，数据 
date n.日期 v.注日期 
dating n.约会 
daughter n.女儿 
daughter-in-law n.儿媳 
dawn n.黎明，开端 
day n.一天，白天 
daybreak n.破晓 
daylight n.日光，白昼 
daytime n.日间 
daze v.耀眼，使迷乱 
dazzle v.使眼花缭乱 
dazzling adj.令人目眩的 
dead adj.死的 n.死者 
deadline n.期限 
deadly adj.致命的，死一般的 
deaf adj.聋的 
deafen v.使聋，震聋 
deal v.处理，交易 n.买卖 
dealer n.商人，贩子 
dealing n.交往，生意 
dean n.系主任 
dear adj.亲爱的，敬爱的 
death n.死，死亡 
deathly adj.致死的 
debate v. & n.辩论，讨论 
debit n.借方 
debt n.债，债务 
decade n.十年 
decay v. & n.腐烂，衰败 
deceased adj.已死的 
deceit n.欺骗，欺诈行为 
deceive v.欺骗 
deception n.欺诈 
deceitful adj.欺骗性的 
December n.十二月 
decency n.体面 
decent adj.体面的，像样的 
decide v.决定，判决 
decided adj.明确的，果断的 
decidedly adv.明确地，果断的 
decimal adj.十进制的，小数的 
decision n.决定，决议 
decisive adj.决定性，明确的 
deck n.甲板 
declaration n.宣布，宣告 
declare v.宣布，声明 
decline v.婉谢，推辞 n.衰落 
declining adj.下降的，衰落的 
decompose v.分解，腐烂 
decorate v.装饰 
decoration n.装饰物 
decorative adj.装饰的，装璜的 
decrease v. & n.减少 
decree n.法令 v.判决 
dedicate v.奉献，致力 
deduce v.演绎，推断 
deduct v.减 
deduction n.推断，减少 
deed n.行为，契据 
each adj. & adv.每，每个 
eager adj.热切的，渴望的 
eagle n.鹰，鹰状标饰 
ear n.耳朵，穗 
earl n.伯爵 
early adj.早的，初期的 
earmark n.标记，特征 
earn v.挣钱，赢得 
earnest adj.认真的，诚恳的 
earnings n.收入，赚得的钱 
earphone n.耳机 
earth n.地球，地上，泥土 
earthly adj.世俗的 
earthquake n.地震 
ease n.安逸，轻易 
easily adv.容易地，安逸地 
east adj.东方的 n.东方 
Easter n.复活节 
